"";"Gene";"B1";"B2";"B3";"B4";"Condition"
"132";"ENSMUSG00000035202.9";618,711113538823;352,13214308655;325,28802152614;320,502181771899;"FLASH"
"133";"ENSMUSG00000069310.5";9026,22633390514;6330,31448067805;5174,79027577835;4831,96984307722;"FLASH"
"134";"ENSMUSG00000069662.6";6339,04315439333;8208,35257713965;6701,83682127606;6502,1527668563;"FLASH"
"135";"ENSMUSG00000025428.16";6614,53434548088;5426,23984359325;6487,68887377135;5438,19831006513;"FLASH"
"136";"ENSMUSG00000101972.2";6371,99226694865;5157,43668093176;4285,6696836069;3703,16303865479;"FLASH"
"137";"ENSMUSG00000007892.9";5484,19673420803;6250,56954242181;5641,03643996581;4740,80060075501;"FLASH"
"138";"ENSMUSG00000052565.8";13935,6441046481;10762,878632966;9457,74922587253;8036,05177170011;"FLASH"
"139";"ENSMUSG00000049577.16";4593,6554420878;3413,8001658009;3561,90383571123;2987,90743651867;"FLASH"
"140";"ENSMUSG00000032294.18";3218,94524602965;2746,27231185821;3935,08148262872;3044,30078228499;"FLASH"
"141";"ENSMUSG00000069265.3";6834,1950958497;5147,5805649675;4484,45680787287;4104,49568269174;"FLASH"
"142";"ENSMUSG00000021061.16";7775,07530992945;5678,91481649505;5954,57794960351;4533,08511051574;"FLASH"
"143";"ENSMUSG00000069274.4";8587,82008629406;6509,51658911905;5238,04072440843;4619,55490735743;"FLASH"
"144";"ENSMUSG00000036427.6";3637,21592485693;3456,80867182674;4153,7473193213;3658,98825113784;"FLASH"
"145";"ENSMUSG00000091405.3";8899,92140244308;6996,05031353634;6226,55487871287;5208,86537061544;"FLASH"
"146";"ENSMUSG00000027763.14";13620,7970291195;14839,7265999986;15490,9384473449;12912,1964022943;"FLASH"
"147";"ENSMUSG00000093674.8";5783,48450658554;4619,83035560878;4404,03838032891;4652,45102572111;"FLASH"
"148";"ENSMUSG00000049775.17";13996,0508109995;15635,3839614766;12716,0509081594;14748,739696084;"FLASH"
"149";"ENSMUSG00000024393.15";6501,95821091687;6238,02539483094;5867,83447719654;6776,60038291904;"FLASH"
"150";"ENSMUSG00000021939.9";18471,6385997641;18965,8551468524;17936,9236536539;17444,3416237139;"FLASH"
"151";"ENSMUSG00000069516.9";15833,8790890853;18414,8086633964;16333,9765698001;17068,3859852718;"FLASH"
"152";"ENSMUSG00000022587.16";11827,816154234;13447,3262174121;11711,2723527786;13718,6212467526;"FLASH"
"153";"ENSMUSG00000064373.14";14331,033455312;18715,8682055772;16505,6563589389;16996,0145248717;"FLASH"
"154";"ENSMUSG00000027962.15";11090,1221342455;10418,8105847593;10676,675728758;12171,5637945633;"FLASH"
"155";"ENSMUSG00000036594.16";10611,4447490667;13686,5610321808;11615,4931019959;10882,975843803;"FLASH"
"156";"ENSMUSG00000046805.12";9953,37775108684;12089,8702459715;10542,9462087972;10196,8568036461;"FLASH"
"157";"ENSMUSG00000024610.17";8316,90516083919;9937,65292359523;8959,87783737002;8677,05613524391;"FLASH"
"158";"ENSMUSG00000028581.18";8862,39602425507;10667,0055049501;8527,96763101031;10443,1077468257;"FLASH"
"159";"ENSMUSG00000017707.10";20380,8566217197;20310,7669707021;19119,7070430365;18126,7011074863;"FLASH"
"160";"ENSMUSG00000002985.17";6986,12711485479;8142,94380755869;6961,1636606594;8912,02840927022;"FLASH"
"161";"ENSMUSG00000025743.15";8604,29464257172;9899,12447028042;7751,79426853543;9694,95602632592;"FLASH"
"162";"ENSMUSG00000092274.5";4778,53657364822;4960,31436164667;4840,46647587648;5496,47143402365;"FLASH"
"163";"ENSMUSG00000025993.11";8094,49865109076;7408,21516295062;8235,20841163678;7869,69140168947;"FLASH"
"164";"ENSMUSG00000021998.17";9037,20937142359;10926,8485621895;9122,52184813309;10029,5565445394;"FLASH"
"165";"ENSMUSG00000050708.17";8224,46459505898;7469,14387982056;6712,67975532693;7927,964525648;"FLASH"
"166";"ENSMUSG00000073411.13";7725,65164109646;8055,13477442261;7602,70392533595;7989,05731689484;"FLASH"
"167";"ENSMUSG00000027322.12";4741,92644858675;5516,73690835595;4980,52104070024;7329,25517142894;"FLASH"
"168";"ENSMUSG00000002602.17";6039,75538201582;5704,89912221899;6110,89691550357;6164,7325813545;"FLASH"
"169";"ENSMUSG00000020372.16";13191,5433127738;13172,2509809551;11635,3718144225;12005,2034245527;"FLASH"
"170";"ENSMUSG00000022108.9";8138,43080116453;8911,72085277055;7741,85491232214;7883,78973813105;"FLASH"
"171";"ENSMUSG00000061232.17";6211,82296980473;6362,57086019743;5913,01336907517;6897,84607631662;"FLASH"
"172";"ENSMUSG00000032562.14";8377,31186719061;8910,82484222834;7468,97440537521;8128,16090311842;"FLASH"
"173";"ENSMUSG00000034708.13";6327,14486374835;7282,77368704193;5919,33841393818;7058,56711175062;"FLASH"
"174";"ENSMUSG00000037902.19";7081,31344001461;7435,99148975898;6983,75310659871;7223,98759266515;"FLASH"
"175";"ENSMUSG00000045128.10";9639,44592868475;10262,9047504156;9393,59519940487;8753,18715202843;"FLASH"
"176";"ENSMUSG00000032554.16";6734,43250505719;7214,67688583435;6446,12429324301;8247,52681832379;"FLASH"
"177";"ENSMUSG00000033880.12";4438,9776637031;4872,50532851058;4385,96682357746;4837,60917765385;"FLASH"
"178";"ENSMUSG00000060126.15";10909,8172683177;10701,0539055539;10414,6381558619;9724,09258830518;"FLASH"
"179";"ENSMUSG00000062825.16";7030,05926492856;7797,08373826758;5910,30263556245;7002,1737659843;"FLASH"
"180";"ENSMUSG00000031328.17";11817,7483698421;12694,6773619599;10623,3646363412;12923,4750714475;"FLASH"
"181";"ENSMUSG00000073421.7";4762,9772704971;6377,80303941492;5550,67865620855;4840,42884494217;"FLASH"
