"";"boot";"cols";"Accuracy";"acc_teste";"mean_acc_test"
"396";99;4;1;0,6;0,5
"397";100;1;1;0,6;0,525
"398";100;2;1;0,55;0,525
"399";100;3;1;0,45;0,525
"400";100;4;1;0,5;0,525
"401";101;1;1;0,55;0,525
"402";101;2;1;0,5;0,525
"403";101;3;1;0,45;0,525
"404";101;4;1;0,6;0,525
"405";102;1;1;0,6;0,55
"406";102;2;1;0,5;0,55
"407";102;3;1;0,6;0,55
"408";102;4;1;0,5;0,55
"409";103;1;1;0,55;0,45
"410";103;2;1;0,45;0,45
"411";103;3;1;0,45;0,45
"412";103;4;1;0,35;0,45
"413";104;1;1;0,7;0,55
"414";104;2;1;0,55;0,55
"415";104;3;1;0,5;0,55
"416";104;4;1;0,55;0,55
"417";105;1;1;0,5;0,525
"418";105;2;1;0,45;0,525
"419";105;3;1;0,55;0,525
"420";105;4;1;0,65;0,525
"421";106;1;1;0,4;0,475
"422";106;2;1;0,45;0,475
"423";106;3;1;0,5;0,475
"424";106;4;1;0,5;0,475
"425";107;1;1;0,5;0,5
"426";107;2;1;0,5;0,5
"427";107;3;1;0,5;0,5
"428";107;4;1;0,45;0,5
"429";108;1;1;0,45;0,475
"430";108;2;1;0,5;0,475
"431";108;3;1;0,5;0,475
"432";108;4;1;0,4;0,475
"433";109;1;1;0,35;0,425
"434";109;2;1;0,55;0,425
"435";109;3;1;0,35;0,425
"436";109;4;1;0,5;0,425
"437";110;1;1;0,5;0,45
"438";110;2;1;0,4;0,45
"439";110;3;1;0,35;0,45
"440";110;4;1;0,55;0,45
"441";111;1;1;0,55;0,5
"442";111;2;1;0,55;0,5
"443";111;3;1;0,4;0,5
"444";111;4;1;0,45;0,5
"445";112;1;1;0,5;0,475
"446";112;2;1;0,4;0,475
"447";112;3;1;0,45;0,475
"448";112;4;1;0,5;0,475
"449";113;1;1;0,25;0,5
"450";113;2;1;0,5;0,5
"451";113;3;1;0,5;0,5
"452";113;4;1;0,5;0,5
"453";114;1;1;0,55;0,525
"454";114;2;1;0,5;0,525
"455";114;3;1;0,5;0,525
"456";114;4;1;0,6;0,525
"457";115;1;1;0,45;0,525
"458";115;2;1;0,5;0,525
"459";115;3;1;0,6;0,525
"460";115;4;1;0,55;0,525
"461";116;1;1;0,75;0,6
"462";116;2;1;0,65;0,6
"463";116;3;1;0,55;0,6
"464";116;4;1;0,55;0,6
"465";117;1;1;0,55;0,525
"466";117;2;1;0,55;0,525
"467";117;3;1;0,5;0,525
"468";117;4;1;0,5;0,525
"469";118;1;1;0,65;0,575
"470";118;2;1;0,55;0,575
"471";118;3;1;0,55;0,575
"472";118;4;1;0,6;0,575
"473";119;1;1;0,55;0,525
"474";119;2;1;0,5;0,525
"475";119;3;1;0,55;0,525
"476";119;4;1;0,5;0,525
"477";120;1;1;0,5;0,45
"478";120;2;1;0,4;0,45
"479";120;3;1;0,4;0,45
"480";120;4;1;0,55;0,45
"481";121;1;1;0,75;0,625
"482";121;2;1;0,6;0,625
"483";121;3;1;0,5;0,625
"484";121;4;1;0,65;0,625
"485";122;1;1;0,5;0,6
"486";122;2;1;0,65;0,6
"487";122;3;1;0,6;0,6
"488";122;4;1;0,6;0,6
"489";123;1;1;0,65;0,625
"490";123;2;1;0,7;0,625
"491";123;3;1;0,6;0,625
"492";123;4;1;0,6;0,625
"493";124;1;1;0,5;0,525
"494";124;2;1;0,55;0,525
"495";124;3;1;0,5;0,525
"496";124;4;1;0,6;0,525
"497";125;1;1;0,7;0,7
"498";125;2;1;0,7;0,7
"499";125;3;1;0,4;0,7
"500";125;4;1;0,7;0,7
"501";126;1;1;0,5;0,5
"502";126;2;1;0,5;0,5
"503";126;3;1;0,5;0,5
"504";126;4;1;0,4;0,5
"505";127;1;1;0,8;0,55
"506";127;2;1;0,55;0,55
"507";127;3;1;0,55;0,55
"508";127;4;1;0,5;0,55
"509";128;1;1;0,15;0,475
"510";128;2;1;0,5;0,475
"511";128;3;1;0,5;0,475
"512";128;4;1;0,45;0,475
"513";129;1;1;0,35;0,35
"514";129;2;1;0,3;0,35
"515";129;3;1;0,55;0,35
"516";129;4;1;0,35;0,35
"517";130;1;1;0,65;0,625
"518";130;2;1;0,6;0,625
"519";130;3;1;0,6;0,625
"520";130;4;1;0,65;0,625
"521";131;1;1;0,65;0,575
"522";131;2;1;0,45;0,575
"523";131;3;1;0,6;0,575
"524";131;4;1;0,55;0,575
"525";132;1;1;0,45;0,475
"526";132;2;1;0,5;0,475
"527";132;3;1;0,5;0,475
"528";132;4;1;0,35;0,475
"529";133;1;1;0,6;0,5
"530";133;2;1;0,5;0,5
"531";133;3;1;0,5;0,5
"532";133;4;1;0,4;0,5
"533";134;1;1;0,4;0,5
"534";134;2;1;0,45;0,5
"535";134;3;1;0,55;0,5
"536";134;4;1;0,55;0,5
"537";135;1;1;0,4;0,45
"538";135;2;1;0,5;0,45
"539";135;3;1;0,45;0,45
"540";135;4;1;0,45;0,45
"541";136;1;1;0,55;0,4
"542";136;2;1;0,4;0,4
"543";136;3;1;0,3;0,4
"544";136;4;1;0,4;0,4
"545";137;1;1;0,4;0,475
"546";137;2;1;0,4;0,475
"547";137;3;1;0,55;0,475
"548";137;4;1;0,55;0,475
"549";138;1;1;0,4;0,45
"550";138;2;1;0,45;0,45
"551";138;3;1;0,55;0,45
"552";138;4;1;0,45;0,45
"553";139;1;1;0,45;0,475
"554";139;2;1;0,5;0,475
"555";139;3;1;0,6;0,475
"556";139;4;1;0,4;0,475
"557";140;1;1;0,25;0,45
"558";140;2;1;0,55;0,45
"559";140;3;1;0,45;0,45
"560";140;4;1;0,45;0,45
"561";141;1;1;0,45;0,475
"562";141;2;1;0,5;0,475
"563";141;3;1;0,4;0,475
"564";141;4;1;0,6;0,475
"565";142;1;1;0,4;0,525
"566";142;2;1;0,55;0,525
"567";142;3;1;0,65;0,525
"568";142;4;1;0,5;0,525
"569";143;1;1;0,5;0,5
"570";143;2;1;0,5;0,5
"571";143;3;1;0,55;0,5
"572";143;4;1;0,5;0,5
"573";144;1;1;0,75;0,55
"574";144;2;1;0,55;0,55
"575";144;3;1;0,5;0,55
"576";144;4;1;0,55;0,55
"577";145;1;1;0,6;0,575
"578";145;2;1;0,55;0,575
"579";145;3;1;0,5;0,575
"580";145;4;1;0,6;0,575
"581";146;1;1;0,4;0,475
"582";146;2;1;0,5;0,475
"583";146;3;1;0,5;0,475
"584";146;4;1;0,45;0,475
"585";147;1;1;0,75;0,6
"586";147;2;1;0,45;0,6
"587";147;3;1;0,6;0,6
"588";147;4;1;0,6;0,6
"589";148;1;1;0,65;0,55
"590";148;2;1;0,4;0,55
"591";148;3;1;0,55;0,55
"592";148;4;1;0,55;0,55
"593";149;1;1;0,4;0,425
"594";149;2;1;0,45;0,425
"595";149;3;1;0,5;0,425
"596";149;4;1;0,4;0,425
"597";150;1;1;0,3;0,475
"598";150;2;1;0,5;0,475
"599";150;3;1;0,45;0,475
"600";150;4;1;0,6;0,475
"601";151;1;1;0,45;0,5
"602";151;2;1;0,55;0,5
"603";151;3;1;0,55;0,5
"604";151;4;1;0,45;0,5
"605";152;1;1;0,45;0,425
