"";"Gene";"S1";"S2";"S3";"S4";"Condition"
"137";"ENSMUSG00000028382.16";9221,30435633425;8850,64767590569;11446,5232458094;8372,84065485863;"FLASH"
"138";"ENSMUSG00000026600.13";4114,36845010521;5608,75382017848;2334,44480353443;3467,81173880212;"FLASH"
"139";"ENSMUSG00000000740.13";9648,56181968096;9566,68150644979;8212,10841890591;11581,7852061787;"FLASH"
"140";"ENSMUSG00000021939.9";9684,83839675757;10290,1851385048;12873,4431884229;9655,40990192892;"FLASH"
"141";"ENSMUSG00000030536.11";13951,3669340452;12982,5150259306;14849,0332082425;12719,7922576421;"FLASH"
"142";"ENSMUSG00000079013.3";3413,0212932908;3770,11553399745;2545,98025498739;4461,25659465866;"FLASH"
"143";"ENSMUSG00000039457.5";8055,41547639996;8533,71466894355;7925,02459193403;11015,3031140913;"FLASH"
"144";"ENSMUSG00000020017.15";6863,32684635478;8302,1508221059;7640,77382904412;8897,29885287427;"FLASH"
"145";"ENSMUSG00000058558.13";10803,366189953;11417,0580521479;9587,08885335013;12658,4373722973;"FLASH"
"146";"ENSMUSG00000067336.7";10347,8936111022;9796,11112428434;12334,2166581566;9745,3410352425;"FLASH"
"147";"ENSMUSG00000040952.17";6008,81191966137;6274,63326914944;4661,33476951697;7554,21519834063;"FLASH"
"148";"ENSMUSG00000027907.5";7004,40242387492;5833,9149800068;8246,10518788942;6359,05565093961;"FLASH"
"149";"ENSMUSG00000062328.9";6952,00292365316;7550,90221301045;6200,63292071483;9038,4991369554;"FLASH"
"150";"ENSMUSG00000045962.17";15535,4441330571;15833,8449740883;17598,0497224369;15347,1261150089;"FLASH"
"151";"ENSMUSG00000015568.17";7210,97737667227;6928,77445860329;4915,36618219931;7087,74997414403;"FLASH"
"152";"ENSMUSG00000051748.3";3438,21336070511;5486,03565249954;4281,70418253443;5846,36414326407;"FLASH"
"153";"ENSMUSG00000052557.12";10042,5657540408;10706,3597941116;9678,69125866682;10839,6432368713;"FLASH"
"154";"ENSMUSG00000030303.16";4908,42241500428;5546,86117908823;3928,51552698351;5398,38943245904;"FLASH"
"155";"ENSMUSG00000064337.1";578,409867832572;621,060639905608;2070,96984391222;393,343648511728;"FLASH"
"156";"ENSMUSG00000062515.4";4929,5837516323;3856,55180862348;3532,8309102032;5887,5475594544;"FLASH"
"157";"ENSMUSG00000033685.14";6683,95932636489;6240,48560509965;7780,53832375411;6474,20112069625;"FLASH"
"158";"ENSMUSG00000008668.16";3320,31448520614;3659,13562583562;2448,71172150679;5069,76258081783;"FLASH"
"159";"ENSMUSG00000078578.10";12161,7224649326;11754,2662346396;14232,3695930693;10899,3171664532;"FLASH"
"160";"ENSMUSG00000061983.8";10581,675996707;10954,9974729742;9800,51301419106;12502,9489642318;"FLASH"
"161";"ENSMUSG00000018339.13";8822,26200849157;5499,90814101977;10162,2008619879;7471,84836595997;"FLASH"
"162";"ENSMUSG00000006333.15";3667,96501552362;3887,49812916861;2577,14395988894;5163,89610353859;"FLASH"
"163";"ENSMUSG00000030747.6";4479,14958626443;5306,76041623813;4575,3984923642;6379,22712009406;"FLASH"
"164";"ENSMUSG00000046834.8";35655,8445355187;34872,2347963494;39941,4817821556;40937,15617107;"FLASH"
"165";"ENSMUSG00000024659.16";15534,4364503605;16418,623720941;18416,8052421232;15724,5006837734;"FLASH"
"166";"ENSMUSG00000067006.13";15196,8627470087;15021,7708384042;17157,9804350393;14014,1281950525;"FLASH"
"167";"ENSMUSG00000102439.5";12122,4228397663;11643,2863264778;15709,3403344641;11770,8927295016;"FLASH"
"168";"ENSMUSG00000001552.15";25090,2914619568;23257,7605614136;26849,8926594219;26539,770062083;"FLASH"
"169";"ENSMUSG00000034607.7";14385,6781762679;14467,9384120966;17562,1642440654;15326,114167973;"FLASH"
"170";"ENSMUSG00000022108.9";14880,450380285;16819,8587735261;17464,8957105848;18487,1514800512;"FLASH"
"171";"ENSMUSG00000061780.7";8950,23771095627;7850,7613879477;6699,25219913966;8868,72260490547;"FLASH"
"172";"ENSMUSG00000021054.7";7888,14014876894;8784,48657680922;10864,8007543138;7989,58274092413;"FLASH"
"173";"ENSMUSG00000034634.8";12209,0835516715;12919,5552703388;13727,1398317866;12506,3108757575;"FLASH"
"174";"ENSMUSG00000007892.9";9930,71297472124;9757,69500222832;11600,4530609292;9614,22648573859;"FLASH"
"175";"ENSMUSG00000006699.18";8627,7792480531;8787,68792031389;10523,8887097847;8483,78373520809;"FLASH"
"176";"ENSMUSG00000069808.14";5098,87444465647;5743,21024737454;7280,03033594131;5111,7864748896;"FLASH"
"177";"ENSMUSG00000009013.6";6133,76457403635;6193,53256703119;7909,91491683025;5900,99520555736;"FLASH"
"178";"ENSMUSG00000021950.16";15586,8359505823;14683,4955414109;15809,4419320267;16236,3517135675;"FLASH"
"179";"ENSMUSG00000024576.15";13214,7508828508;12173,6422337512;14445,7937539103;12030,6003948651;"FLASH"
