"";"LHS";"RHS";"support";"confidence";"coverage";"lift";"count"
"153";" H2bc15=[3.69e+03,5.77e+03]";" Alas2=[4.85e+03,6.54e+03]";0,5;1;0,5;2;2
"154";" Alas2=[4.85e+03,6.54e+03]";" H2bc15=[3.69e+03,5.77e+03]";0,5;1;0,5;2;2
"155";" H2bc15=[3.69e+03,5.77e+03]";" Igfbp4=[2.15e+04,2.61e+04]";0,5;1;0,5;2;2
"156";" Igfbp4=[2.15e+04,2.61e+04]";" H2bc15=[3.69e+03,5.77e+03]";0,5;1;0,5;2;2
"157";" H2bc15=[3.69e+03,5.77e+03]";" Itm2b=[8.14e+03,8.91e+03]";0,5;1;0,5;2;2
"158";" Itm2b=[8.14e+03,8.91e+03]";" H2bc15=[3.69e+03,5.77e+03]";0,5;1;0,5;2;2
"159";" H2bc15=[3.69e+03,5.77e+03]";" Mpo=[2.61e+03,3.03e+03]";0,5;1;0,5;2;2
"160";" Mpo=[2.61e+03,3.03e+03]";" H2bc15=[3.69e+03,5.77e+03]";0,5;1;0,5;2;2
"161";" H3c11=[5.16e+03,6.37e+03]";" Rn18s-rs5=[8.47e+03,2.88e+04]";0,5;1;0,5;2;2
"162";" Rn18s-rs5=[8.47e+03,2.88e+04]";" H3c11=[5.16e+03,6.37e+03]";0,5;1;0,5;2;2
"163";" H3c11=[5.16e+03,6.37e+03]";" Alas2=[4.85e+03,6.54e+03]";0,5;1;0,5;2;2
"164";" Alas2=[4.85e+03,6.54e+03]";" H3c11=[5.16e+03,6.37e+03]";0,5;1;0,5;2;2
"165";" H3c11=[5.16e+03,6.37e+03]";" Igfbp4=[2.15e+04,2.61e+04]";0,5;1;0,5;2;2
"166";" Igfbp4=[2.15e+04,2.61e+04]";" H3c11=[5.16e+03,6.37e+03]";0,5;1;0,5;2;2
"167";" H3c11=[5.16e+03,6.37e+03]";" Itm2b=[8.14e+03,8.91e+03]";0,5;1;0,5;2;2
"168";" Itm2b=[8.14e+03,8.91e+03]";" H3c11=[5.16e+03,6.37e+03]";0,5;1;0,5;2;2
"169";" H3c11=[5.16e+03,6.37e+03]";" Mpo=[2.61e+03,3.03e+03]";0,5;1;0,5;2;2
"170";" Mpo=[2.61e+03,3.03e+03]";" H3c11=[5.16e+03,6.37e+03]";0,5;1;0,5;2;2
"171";" Rn18s-rs5=[8.47e+03,2.88e+04]";" Alas2=[4.85e+03,6.54e+03]";0,5;1;0,5;2;2
"172";" Alas2=[4.85e+03,6.54e+03]";" Rn18s-rs5=[8.47e+03,2.88e+04]";0,5;1;0,5;2;2
"173";" Rn18s-rs5=[8.47e+03,2.88e+04]";" Igfbp4=[2.15e+04,2.61e+04]";0,5;1;0,5;2;2
"174";" Igfbp4=[2.15e+04,2.61e+04]";" Rn18s-rs5=[8.47e+03,2.88e+04]";0,5;1;0,5;2;2
"175";" Rn18s-rs5=[8.47e+03,2.88e+04]";" Itm2b=[8.14e+03,8.91e+03]";0,5;1;0,5;2;2
"176";" Itm2b=[8.14e+03,8.91e+03]";" Rn18s-rs5=[8.47e+03,2.88e+04]";0,5;1;0,5;2;2
"177";" Rn18s-rs5=[8.47e+03,2.88e+04]";" Mpo=[2.61e+03,3.03e+03]";0,5;1;0,5;2;2
"178";" Mpo=[2.61e+03,3.03e+03]";" Rn18s-rs5=[8.47e+03,2.88e+04]";0,5;1;0,5;2;2
"179";" Cybb=[4.08e+03,4.82e+03]";" Sparc=[9.81e+04,1.16e+05]";0,5;1;0,5;2;2
"180";" Sparc=[9.81e+04,1.16e+05]";" Cybb=[4.08e+03,4.82e+03]";0,5;1;0,5;2;2
"181";" Cybb=[4.08e+03,4.82e+03]";" Ly6c2=[3.1e+03,3.41e+03]";0,5;1;0,5;2;2
"182";" Ly6c2=[3.1e+03,3.41e+03]";" Cybb=[4.08e+03,4.82e+03]";0,5;1;0,5;2;2
"183";" Cybb=[4.08e+03,4.82e+03]";" Ctsk=[1.15e+04,1.17e+04]";0,5;1;0,5;2;2
"184";" Ctsk=[1.15e+04,1.17e+04]";" Cybb=[4.08e+03,4.82e+03]";0,5;1;0,5;2;2
"185";" Cybb=[4.08e+03,4.82e+03]";" Tnc=[2.26e+04,2.34e+04]";0,5;1;0,5;2;2
"186";" Tnc=[2.26e+04,2.34e+04]";" Cybb=[4.08e+03,4.82e+03]";0,5;1;0,5;2;2
"187";" Cybb=[4.08e+03,4.82e+03]";" Laptm5=[1.04e+04,1.07e+04]";0,5;1;0,5;2;2
"188";" Laptm5=[1.04e+04,1.07e+04]";" Cybb=[4.08e+03,4.82e+03]";0,5;1;0,5;2;2
"189";" Cybb=[4.08e+03,4.82e+03]";" Ibsp=[8.72e+03,8.95e+03]";0,5;1;0,5;2;2
"190";" Ibsp=[8.72e+03,8.95e+03]";" Cybb=[4.08e+03,4.82e+03]";0,5;1;0,5;2;2
"191";" Cybb=[4.08e+03,4.82e+03]";" Col1a2=[1.73e+05,1.95e+05]";0,5;1;0,5;2;2
"192";" Col1a2=[1.73e+05,1.95e+05]";" Cybb=[4.08e+03,4.82e+03]";0,5;1;0,5;2;2
"193";" Cybb=[4.08e+03,4.82e+03]";" Lgals3bp=[4.84e+03,4.87e+03]";0,5;1;0,5;2;2
"194";" Lgals3bp=[4.84e+03,4.87e+03]";" Cybb=[4.08e+03,4.82e+03]";0,5;1;0,5;2;2
"195";" Cybb=[4.08e+03,4.82e+03]";" Chad=[4.25e+03,5.19e+03]";0,5;1;0,5;2;2
"196";" Chad=[4.25e+03,5.19e+03]";" Cybb=[4.08e+03,4.82e+03]";0,5;1;0,5;2;2
"197";" Cybb=[4.08e+03,4.82e+03]";" Mmp13=[1.69e+04,2.04e+04]";0,5;1;0,5;2;2
"198";" Mmp13=[1.69e+04,2.04e+04]";" Cybb=[4.08e+03,4.82e+03]";0,5;1;0,5;2;2
"199";" Cybb=[4.08e+03,4.82e+03]";" Ahnak=[2.99e+04,3.04e+04]";0,5;1;0,5;2;2
"200";" Ahnak=[2.99e+04,3.04e+04]";" Cybb=[4.08e+03,4.82e+03]";0,5;1;0,5;2;2
"201";" Cybb=[4.08e+03,4.82e+03]";" Rnf213=[1.41e+04,1.63e+04]";0,5;1;0,5;2;2
"202";" Rnf213=[1.41e+04,1.63e+04]";" Cybb=[4.08e+03,4.82e+03]";0,5;1;0,5;2;2
"203";" Cybb=[4.08e+03,4.82e+03]";" Serpinh1=[7.38e+03,7.73e+03]";0,5;1;0,5;2;2
"204";" Serpinh1=[7.38e+03,7.73e+03]";" Cybb=[4.08e+03,4.82e+03]";0,5;1;0,5;2;2
"205";" Cybb=[4.08e+03,4.82e+03]";" Neat1=[4.96e+03,5.5e+03]";0,5;1;0,5;2;2
"206";" Neat1=[4.96e+03,5.5e+03]";" Cybb=[4.08e+03,4.82e+03]";0,5;1;0,5;2;2
"207";" Sparc=[9.81e+04,1.16e+05]";" Ly6c2=[3.1e+03,3.41e+03]";0,5;1;0,5;2;2
"208";" Ly6c2=[3.1e+03,3.41e+03]";" Sparc=[9.81e+04,1.16e+05]";0,5;1;0,5;2;2
"209";" Sparc=[9.81e+04,1.16e+05]";" Ctsk=[1.15e+04,1.17e+04]";0,5;1;0,5;2;2
"210";" Ctsk=[1.15e+04,1.17e+04]";" Sparc=[9.81e+04,1.16e+05]";0,5;1;0,5;2;2
"211";" Sparc=[9.81e+04,1.16e+05]";" Tnc=[2.26e+04,2.34e+04]";0,5;1;0,5;2;2
"212";" Tnc=[2.26e+04,2.34e+04]";" Sparc=[9.81e+04,1.16e+05]";0,5;1;0,5;2;2
"213";" Sparc=[9.81e+04,1.16e+05]";" Laptm5=[1.04e+04,1.07e+04]";0,5;1;0,5;2;2
"214";" Laptm5=[1.04e+04,1.07e+04]";" Sparc=[9.81e+04,1.16e+05]";0,5;1;0,5;2;2
"215";" Sparc=[9.81e+04,1.16e+05]";" Ibsp=[8.72e+03,8.95e+03]";0,5;1;0,5;2;2
"216";" Ibsp=[8.72e+03,8.95e+03]";" Sparc=[9.81e+04,1.16e+05]";0,5;1;0,5;2;2
"217";" Sparc=[9.81e+04,1.16e+05]";" Col1a2=[1.73e+05,1.95e+05]";0,5;1;0,5;2;2
"218";" Col1a2=[1.73e+05,1.95e+05]";" Sparc=[9.81e+04,1.16e+05]";0,5;1;0,5;2;2
"219";" Sparc=[9.81e+04,1.16e+05]";" Lgals3bp=[4.84e+03,4.87e+03]";0,5;1;0,5;2;2
"220";" Lgals3bp=[4.84e+03,4.87e+03]";" Sparc=[9.81e+04,1.16e+05]";0,5;1;0,5;2;2
"221";" Sparc=[9.81e+04,1.16e+05]";" Chad=[4.25e+03,5.19e+03]";0,5;1;0,5;2;2
"222";" Chad=[4.25e+03,5.19e+03]";" Sparc=[9.81e+04,1.16e+05]";0,5;1;0,5;2;2
"223";" Sparc=[9.81e+04,1.16e+05]";" Mmp13=[1.69e+04,2.04e+04]";0,5;1;0,5;2;2
