"";"LHS";"RHS";"support";"confidence";"coverage";"lift";"count"
"91";" B2m=[2.67e+04,2.76e+04]";" Rnf213=[1.04e+04,1.1e+04]";0,5;1;0,5;2;2
"92";" Rnf213=[1.04e+04,1.1e+04]";" B2m=[2.67e+04,2.76e+04]";0,5;1;0,5;2;2
"93";" B2m=[2.67e+04,2.76e+04]";" H2bc15=[4.18e+03,4.66e+03]";0,5;1;0,5;2;2
"94";" H2bc15=[4.18e+03,4.66e+03]";" B2m=[2.67e+04,2.76e+04]";0,5;1;0,5;2;2
"95";" B2m=[2.67e+04,2.76e+04]";" H3c11=[6.01e+03,6.35e+03]";0,5;1;0,5;2;2
"96";" H3c11=[6.01e+03,6.35e+03]";" B2m=[2.67e+04,2.76e+04]";0,5;1;0,5;2;2
"97";" B2m=[2.67e+04,2.76e+04]";" Hsp90ab1=[9.58e+03,1.16e+04]";0,5;1;0,5;2;2
"98";" Hsp90ab1=[9.58e+03,1.16e+04]";" B2m=[2.67e+04,2.76e+04]";0,5;1;0,5;2;2
"99";" B2m=[2.67e+04,2.76e+04]";" Mpo=[2.51e+03,4.23e+03]";0,5;1;0,5;2;2
"100";" Mpo=[2.51e+03,4.23e+03]";" B2m=[2.67e+04,2.76e+04]";0,5;1;0,5;2;2
"101";" B2m=[2.67e+04,2.76e+04]";" Alas2=[5.85e+03,7.38e+03]";0,5;1;0,5;2;2
"102";" Alas2=[5.85e+03,7.38e+03]";" B2m=[2.67e+04,2.76e+04]";0,5;1;0,5;2;2
"103";" B2m=[2.67e+04,2.76e+04]";" Scd1=[3.27e+04,3.68e+04]";0,5;1;0,5;2;2
"104";" Scd1=[3.27e+04,3.68e+04]";" B2m=[2.67e+04,2.76e+04]";0,5;1;0,5;2;2
"105";" B2m=[2.67e+04,2.76e+04]";" Ly6c2=[1.95e+03,2.03e+03]";0,5;1;0,5;2;2
"106";" Ly6c2=[1.95e+03,2.03e+03]";" B2m=[2.67e+04,2.76e+04]";0,5;1;0,5;2;2
"107";" Naca=[5.17e+03,6.1e+03]";" H3c3=[7.84e+03,7.9e+03]";0,5;1;0,5;2;2
"108";" H3c3=[7.84e+03,7.9e+03]";" Naca=[5.17e+03,6.1e+03]";0,5;1;0,5;2;2
"109";" Naca=[5.17e+03,6.1e+03]";" Rnf213=[1.04e+04,1.1e+04]";0,5;1;0,5;2;2
"110";" Rnf213=[1.04e+04,1.1e+04]";" Naca=[5.17e+03,6.1e+03]";0,5;1;0,5;2;2
"111";" Naca=[5.17e+03,6.1e+03]";" H2bc15=[4.18e+03,4.66e+03]";0,5;1;0,5;2;2
"112";" H2bc15=[4.18e+03,4.66e+03]";" Naca=[5.17e+03,6.1e+03]";0,5;1;0,5;2;2
"113";" Naca=[5.17e+03,6.1e+03]";" H3c11=[6.01e+03,6.35e+03]";0,5;1;0,5;2;2
"114";" H3c11=[6.01e+03,6.35e+03]";" Naca=[5.17e+03,6.1e+03]";0,5;1;0,5;2;2
"115";" Naca=[5.17e+03,6.1e+03]";" Hsp90ab1=[9.58e+03,1.16e+04]";0,5;1;0,5;2;2
"116";" Hsp90ab1=[9.58e+03,1.16e+04]";" Naca=[5.17e+03,6.1e+03]";0,5;1;0,5;2;2
"117";" Naca=[5.17e+03,6.1e+03]";" Mpo=[2.51e+03,4.23e+03]";0,5;1;0,5;2;2
"118";" Mpo=[2.51e+03,4.23e+03]";" Naca=[5.17e+03,6.1e+03]";0,5;1;0,5;2;2
"119";" Naca=[5.17e+03,6.1e+03]";" Alas2=[5.85e+03,7.38e+03]";0,5;1;0,5;2;2
"120";" Alas2=[5.85e+03,7.38e+03]";" Naca=[5.17e+03,6.1e+03]";0,5;1;0,5;2;2
"121";" Naca=[5.17e+03,6.1e+03]";" Scd1=[3.27e+04,3.68e+04]";0,5;1;0,5;2;2
"122";" Scd1=[3.27e+04,3.68e+04]";" Naca=[5.17e+03,6.1e+03]";0,5;1;0,5;2;2
