"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"gene_name"
"ENSMUSG00000000690.6";151,814550621716;0,239586887933515;0,184956223022713;1,29537078568096;0,195192351024456;0,999566129306685;" Hoxb6"
"ENSMUSG00000000693.11";79,626294340087;0,480040983527444;0,471750131592605;1,01757466798546;0,308880130982742;0,999566129306685;" Loxl3"
"ENSMUSG00000000708.15";1017,06012907819;0,0475244526573606;0,247341643977386;0,192140926586975;0,847631817339154;0,999566129306685;" Kat2b"
"ENSMUSG00000000711.4";2243,79211516853;0,0899236923602624;0,134739139539635;0,667391024371286;0,504522397609919;0,999566129306685;" Rab5b"
"ENSMUSG00000000724.11";31,2714564475283;0,0875467131003073;0,332526244511542;0,263277604535868;0,792336619945909;0,999566129306685;" Cryba1"
"ENSMUSG00000000732.10";357,593743895124;-0,288577472335748;0,195067396150245;-1,47937317066292;0,139040606600467;0,999566129306685;" Icosl"
"ENSMUSG00000000738.19";614,839971796719;0,13853501959262;0,139492336183412;0,993137138447997;0,320643127484735;0,999566129306685;" Spg7"
"ENSMUSG00000000739.15";212,136059203773;0,105968984472324;0,188913033842418;0,56094056782084;0,574838053333365;0,999566129306685;" Sult5a1"
"ENSMUSG00000000740.13";10494,307420748;0,097476691143057;0,134828998777165;0,722965326651714;0,469701186778662;0,999566129306685;" Rpl13"
"ENSMUSG00000000743.10";1313,31618967996;-0,0143355381445644;0,0966142695077285;-0,148379097804156;0,882043595003147;0,999566129306685;" Chmp1a"
"ENSMUSG00000000751.14";907,102477216128;0,197879517952988;0,158742383526661;1,24654495892557;0,212564394349901;0,999566129306685;" Rpa1"
"ENSMUSG00000000753.16";885,530855797083;-0,00422153796994795;0,477514469210032;-0,00884064932510167;0,99294627427925;0,999566129306685;" Serpinf1"
"ENSMUSG00000000759.15";896,992261384841;-0,039274314887451;0,130887163467912;-0,300062388448653;0,764129567679184;0,999566129306685;" Tubgcp3"
"ENSMUSG00000000766.19";9,02265476769481;-0,936530506744863;0,7220158184152;-1,29710524736219;0,194594976292058;0,999566129306685;" Oprm1"
"ENSMUSG00000000776.14";281,347863635166;0,0397208254303153;0,133828631690842;0,296803643050574;0,766616423987242;0,999566129306685;" Polr3d"
"ENSMUSG00000000782.17";429,708366122564;-0,0618391578568269;0,151142652391459;-0,40914432080141;0,682433752465465;0,999566129306685;" Tcf7"
"ENSMUSG00000000787.13";7413,94222289036;0,0952632289409928;0,108298539020676;0,87963540230959;0,379056853995088;0,999566129306685;" Ddx3x"
"ENSMUSG00000000791.10";10,9117503699909;-0,0593854738816888;0,61009331313786;-0,0973383457954237;0,922457705026594;0,999566129306685;" Il12rb1"
"ENSMUSG00000000794.10";131,996667159702;0,420081384996513;0,384189967448105;1,09342101717754;0,274208989858147;0,999566129306685;" Kcnn3"
"ENSMUSG00000000804.15";2473,31513287639;0,0316486870078801;0,107760573641947;0,293694492691161;0,76899136301867;0,999566129306685;" Usp32"
"ENSMUSG00000000811.15";383,772410924925;0,236514353394865;0,248940683377933;0,950083169153181;0,342069994533285;0,999566129306685;" Txnrd3"
"ENSMUSG00000000823.17";809,162678926959;0,265011603315941;0,187136346139525;1,41614180667156;0,156733989873332;0,999566129306685;" Zfp512b"
"ENSMUSG00000000826.17";2125,86742254922;0,134540018152292;0,097067079037952;1,38605199090918;0,165731028522607;0,999566129306685;" Dnajc5"
"ENSMUSG00000000827.19";955,723845772969;-0,0885761916345277;0,139844754224544;-0,633389447646382;0,526479354266796;0,999566129306685;" Tpd52l2"
"ENSMUSG00000000838.18";1869,01047024151;-0,326322202064366;0,136010473691886;-2,39924318478302;0,0164289996917649;0,999566129306685;" Fmr1"
"ENSMUSG00000000861.16";1066,63997383319;0,221167112138789;0,246158986354734;0,89847263109895;0,368933629969339;0,999566129306685;" Bcl11a"
